source,category_section,category_no,formulation_no,name,needs_review,source_line
afi-part1,ASAVA AND ARISTA,1,1,ABHAYARISTA,False,3204
afi-part1,ASAVA AND ARISTA,1,2,AMRTARISTA,False,3304
afi-part1,ASAVA AND ARISTA,1,3,AYASKRTI,False,3391
afi-part1,ASAVA AND ARISTA,1,4,ARAVINDASAVA,False,3561
afi-part1,ASAVA AND ARISTA,1,5,ASOKARISTA,False,3652
afi-part1,ASAVA AND ARISTA,1,7,AHIPHENASAVA,False,3713
afi-part1,ASAVA AND ARISTA,1,8,US IRASAVA,True,3753
afi-part1,ASAVA AND ARISTA,1,9,KANAKASAVA,False,3861
afi-part1,ASAVA AND ARISTA,1,10,KARPURASAVA,False,3896
afi-part1,ASAVA AND ARISTA,1,11,KUTAJARISTA,False,3927
afi-part1,ASAVA AND ARISTA,1,12,KUMARYASAVA,False,3955
afi-part1,ASAVA AND ARISTA,1,13,KUMARYASAVA,False,4054
afi-part1,ASAVA AND ARISTA,1,15,CANDANASAVA,False,4120
afi-part1,ASAVA AND ARISTA,1,14,KHADIRARISTA,False,4133
afi-part1,ASAVA AND ARISTA,1,16,JIRAKADYARISTA,False,4211
afi-part1,ASAVA AND ARISTA,1,18,DAS AMULARISTA,False,4239
afi-part1,ASAVA AND ARISTA,1,17,DANTYADYARISTA,False,4263
afi-part1,ASAVA AND ARISTA,1,19,DEVADARVARISTA,False,4350
afi-part1,ASAVA AND ARISTA,1,20,DRAKSARISTA,False,4370
afi-part1,ASAVA AND ARISTA,1,21,PARTHADYARISTA,False,4429
afi-part1,ASAVA AND ARISTA,1,22,PIPPALYADYASAVA,False,4462
afi-part1,ASAVA AND ARISTA,1,23,PUNARNAVASAVA,False,4592
afi-part1,ASAVA AND ARISTA,1,24,BALARISTA,False,4726
afi-part1,ASAVA AND ARISTA,1,25,MADHUKASAVA,False,4847
afi-part1,ASAVA AND ARISTA,1,26,MUSTAKARISTA,False,4896
afi-part1,ASAVA AND ARISTA,1,27,MRGAMADASAVA,False,4936
afi-part1,ASAVA AND ARISTA,1,28,MRTASANJIVANI SURA,False,4972
